model_id,n_concepts,activation,method,divergence,error,sign_agreement,spec_ratio,trace_abs_diff
7,12,tanh,similarity,1.102789,6.700550e-01,0.545455,0.414648,0.000000e+00
7,12,tanh,perturbation,0.432941,1.722723e-01,0.863636,0.231361,0.000000e+00
7,12,tanh,rewiring,1.387461,5.284829e-01,0.530303,0.202488,0.000000e+00
8,13,sigmoid,proposal,1.186695,3.493758e-04,0.788462,0.152751,0.000000e+00
8,13,sigmoid,similarity,1.166858,3.402063e-02,0.500000,0.424333,0.000000e+00
8,13,sigmoid,perturbation,1.187178,2.201641e-02,0.705128,0.401067,0.000000e+00
8,13,sigmoid,rewiring,1.310655,4.520198e-02,0.576923,0.110745,0.000000e+00
8,13,tanh,proposal,0.352333,1.788300e-03,0.916667,0.067259,0.000000e+00
8,13,tanh,similarity,1.166858,3.212381e-01,0.500000,0.424333,0.000000e+00
8,13,tanh,perturbation,0.352222,2.214858e-01,0.935897,0.137538,0.000000e+00
8,13,tanh,rewiring,1.310655,4.815213e-01,0.576923,0.110745,0.000000e+00
9,14,sigmoid,proposal,1.160114,2.752794e-04,0.791209,0.196651,0.000000e+00
9,14,sigmoid,similarity,1.052503,6.313392e-02,0.543956,0.499502,0.000000e+00
9,14,sigmoid,perturbation,1.159600,1.775754e-02,0.697802,0.415213,0.000000e+00
9,14,sigmoid,rewiring,1.348528,7.201645e-02,0.571429,0.199035,0.000000e+00
9,14,tanh,proposal,0.310314,2.013721e-03,0.967033,0.035059,0.000000e+00
9,14,tanh,similarity,1.052503,3.483120e-01,0.543956,0.499502,0.000000e+00
9,14,tanh,perturbation,0.309782,1.746181e-01,0.923077,0.158003,0.000000e+00
9,14,tanh,rewiring,1.348528,6.480516e-01,0.571429,0.199035,0.000000e+00
10,15,sigmoid,proposal,1.077882,3.612887e-04,0.785714,0.116353,0.000000e+00
10,15,sigmoid,similarity,1.147892,5.619644e-02,0.509524,0.442615,0.000000e+00
10,15,sigmoid,perturbation,1.077162,5.587546e-02,0.700000,0.296305,0.000000e+00
10,15,sigmoid,rewiring,1.457410,3.980985e-02,0.495238,0.116869,0.000000e+00
10,15,tanh,proposal,0.275825,2.228028e-03,0.952381,0.054324,0.000000e+00
10,15,tanh,similarity,1.147892,3.448805e-01,0.509524,0.442615,0.000000e+00
10,15,tanh,perturbation,0.275594,3.601791e-01,0.952381,0.103583,0.000000e+00
10,15,tanh,rewiring,1.457410,7.064415e-01,0.495238,0.116869,0.000000e+00
11,16,sigmoid,proposal,1.137068,3.366149e-04,0.816667,0.263145,0.000000e+00
11,16,sigmoid,similarity,1.061678,5.153583e-02,0.537500,0.497161,0.000000e+00
11,16,sigmoid,perturbation,1.137225,2.126226e-02,0.670833,0.388527,0.000000e+00
11,16,sigmoid,rewiring,1.442193,1.461033e-01,0.483333,0.109345,0.000000e+00
11,16,tanh,proposal,0.313962,1.843657e-03,0.941667,0.077718,0.000000e+00
11,16,tanh,similarity,1.061678,4.120986e-01,0.537500,0.497161,0.000000e+00
11,16,tanh,perturbation,0.314060,2.410103e-01,0.925000,0.091606,0.000000e+00
11,16,tanh,rewiring,1.442193,8.042370e-01,0.483333,0.109345,0.000000e+00
12,17,sigmoid,proposal,1.087910,2.453114e-04,0.805147,0.172367,0.000000e+00
