model_id,n_concepts,activation,t_alpha,rho,divergence,error,sign_agreement
3,8,tanh,20,10.0,1.839025,7.052076e-03,0.357143
3,8,tanh,20,1000.0,1.569792,6.279632e-03,0.500000
4,9,sigmoid,1,10.0,2.404746,2.827428e-03,0.347222
4,9,sigmoid,1,1000.0,0.687910,1.548183e-04,0.861111
4,9,sigmoid,3,10.0,2.469878,1.400171e-03,0.291667
4,9,sigmoid,3,1000.0,0.983980,1.032581e-04,0.763889
4,9,sigmoid,5,10.0,2.450084,1.227006e-03,0.319444
4,9,sigmoid,5,1000.0,1.022404,9.469909e-05,0.722222
4,9,sigmoid,10,10.0,2.444795,1.213443e-03,0.333333
4,9,sigmoid,10,1000.0,1.037994,9.576756e-05,0.708333
4,9,sigmoid,15,10.0,2.444920,1.226699e-03,0.333333
4,9,sigmoid,15,1000.0,1.028621,9.464495e-05,0.708333
4,9,sigmoid,20,10.0,2.460874,1.178674e-03,0.333333
4,9,sigmoid,20,1000.0,1.191901,8.672741e-05,0.652778
4,9,tanh,1,10.0,0.866996,1.481478e-02,0.736111
4,9,tanh,1,1000.0,0.182433,5.990821e-04,0.930556
4,9,tanh,3,10.0,1.025196,1.310113e-02,0.805556
4,9,tanh,3,1000.0,0.210488,5.194066e-04,0.944444
4,9,tanh,5,10.0,1.024897,1.258588e-02,0.791667
4,9,tanh,5,1000.0,0.211621,5.151602e-04,0.930556
4,9,tanh,10,10.0,0.984597,1.251689e-02,0.777778
4,9,tanh,10,1000.0,1.105444,7.723523e-02,0.708333
4,9,tanh,15,10.0,1.366146,5.956281e-02,0.597222
4,9,tanh,15,1000.0,0.712351,5.286375e-02,0.805556
4,9,tanh,20,10.0,1.845752,2.796789e-02,0.333333
4,9,tanh,20,1000.0,1.499999,4.976853e-02,0.472222
5,10,sigmoid,1,10.0,2.124046,2.260861e-03,0.422222
5,10,sigmoid,1,1000.0,0.841173,9.912723e-05,0.888889
5,10,sigmoid,3,10.0,2.205238,1.056644e-03,0.366667
5,10,sigmoid,3,1000.0,1.095106,7.185724e-05,0.766667
5,10,sigmoid,5,10.0,2.260129,1.171770e-03,0.311111
5,10,sigmoid,5,1000.0,1.128904,6.477266e-05,0.711111
5,10,sigmoid,10,10.0,2.190480,1.064849e-03,0.366667
5,10,sigmoid,10,1000.0,1.127322,6.490576e-05,0.711111
5,10,sigmoid,15,10.0,2.190481,1.064804e-03,0.366667
5,10,sigmoid,15,1000.0,1.127315,6.490700e-05,0.711111
5,10,sigmoid,20,10.0,2.190481,1.064801e-03,0.366667
5,10,sigmoid,20,1000.0,1.127361,6.491353e-05,0.711111
5,10,tanh,1,10.0,1.014824,6.820646e-03,0.755556
5,10,tanh,1,1000.0,0.261622,3.508955e-04,0.966667
5,10,tanh,3,10.0,1.257444,7.994808e-03,0.633333
5,10,tanh,3,1000.0,0.293367,2.852817e-04,0.911111
5,10,tanh,5,10.0,1.255649,6.108116e-03,0.666667
5,10,tanh,5,1000.0,0.332275,2.950486e-04,0.922222
5,10,tanh,10,10.0,1.392529,5.924258e-03,0.633333
5,10,tanh,10,1000.0,0.360817,2.168072e-04,0.933333
5,10,tanh,15,10.0,1.341743,3.981780e-03,0.611111
5,10,tanh,15,1000.0,0.388439,1.770107e-04,0.933333
5,10,tanh,20,10.0,1.634108,5.847212e-03,0.455556
5,10,tanh,20,1000.0,1.248889,3.129072e-03,0.666667
6,11,sigmoid,1,10.0,2.168555,2.325366e-03,0.390909
6,11,sigmoid,1,1000.0,0.698048,8.156740e-05,0.945455
6,11,sigmoid,3,10.0,2.419802,1.455541e-03,0.281818
6,11,sigmoid,3,1000.0,0.959057,6.511725e-05,0.790909
6,11,sigmoid,5,10.0,2.400544,1.381203e-03,0.290909
6,11,sigmoid,5,1000.0,1.044830,6.809870e-05,0.781818
6,11,sigmoid,10,10.0,2.415718,1.336265e-03,0.300000
6,11,sigmoid,10,1000.0,1.043440,6.730278e-05,0.745455
6,11,sigmoid,15,10.0,2.427614,1.365372e-03,0.281818
6,11,sigmoid,15,1000.0,1.039264,6.842188e-05,0.745455
6,11,sigmoid,20,10.0,2.415777,1.331125e-03,0.300000
6,11,sigmoid,20,1000.0,1.188513,7.570814e-05,0.672727
6,11,tanh,1,10.0,0.844465,9.572021e-03,0.845455
6,11,tanh,1,1000.0,0.188270,4.204352e-04,0.990909
6,11,tanh,3,10.0,1.014607,9.489274e-03,0.718182
6,11,tanh,3,1000.0,0.216095,4.241007e-04,0.972727
6,11,tanh,5,10.0,1.206093,9.671008e-03,0.636364
6,11,tanh,5,1000.0,0.235950,4.091869e-04,0.963636
6,11,tanh,10,10.0,1.333731,8.161144e-03,0.618182
6,11,tanh,10,1000.0,0.261698,3.201069e-04,0.954545
6,11,tanh,15,10.0,1.406582,8.367486e-03,0.609091
6,11,tanh,15,1000.0,1.220618,2.505486e-02,0.654545
6,11,tanh,20,10.0,1.571179,5.273428e-03,0.472727
6,11,tanh,20,1000.0,1.132224,3.562365e-03,0.700000
7,12,sigmoid,1,10.0,2.011811,2.283937e-03,0.424242
7,12,sigmoid,1,1000.0,0.640361,8.996481e-05,0.924242
7,12,sigmoid,3,10.0,2.247930,1.369511e-03,0.325758
7,12,sigmoid,3,1000.0,0.861512,5.602391e-05,0.840909
7,12,sigmoid,5,10.0,2.299544,1.464889e-03,0.287879
7,12,sigmoid,5,1000.0,0.902155,5.997141e-05,0.803030
7,12,sigmoid,10,10.0,2.305351,1.310256e-03,0.310606
7,12,sigmoid,10,1000.0,0.927018,6.265598e-05,0.780303
7,12,sigmoid,15,10.0,2.331721,1.282976e-03,0.310606
7,12,sigmoid,15,1000.0,0.921197,6.192069e-05,0.795455
7,12,sigmoid,20,10.0,2.309898,9.946571e-04,0.310606
7,12,sigmoid,20,1000.0,1.029000,5.896601e-05,0.757576
7,12,tanh,1,10.0,1.013154,9.291928e-03,0.719697
7,12,tanh,1,1000.0,0.206842,3.261174e-04,0.962121
7,12,tanh,3,10.0,1.364750,7.085760e-03,0.606061
7,12,tanh,3,1000.0,0.270826,2.934740e-04,0.969697
7,12,tanh,5,10.0,1.466786,5.409121e-03,0.530303
7,12,tanh,5,1000.0,0.303024,2.312047e-04,0.939394
7,12,tanh,10,10.0,1.419893,3.145250e-03,0.583333
7,12,tanh,10,1000.0,0.663002,3.420542e-04,0.818182
7,12,tanh,15,10.0,1.831245,1.523877e-03,0.477273
7,12,tanh,15,1000.0,0.803324,6.303585e-05,0.818182
7,12,tanh,20,10.0,1.356194,2.746074e-02,0.598485
7,12,tanh,20,1000.0,1.098409,9.773428e-04,0.621212
8,13,sigmoid,1,10.0,2.045540,2.072503e-03,0.410256
8,13,sigmoid,1,1000.0,0.718216,8.164775e-05,0.903846
8,13,sigmoid,3,10.0,2.224792,1.084127e-03,0.365385
8,13,sigmoid,3,1000.0,0.903969,4.308627e-05,0.769231
8,13,sigmoid,5,10.0,2.246877,1.131193e-03,0.358974
8,13,sigmoid,5,1000.0,1.002764,4.570964e-05,0.775641
8,13,sigmoid,10,10.0,2.223358,1.050634e-03,0.352564
8,13,sigmoid,10,1000.0,1.020939,4.569603e-05,0.762821
