model_id,n_concepts,activation,metric,steps_mode,t_alpha,rho,divergence,divergence_abs,error,sign_agreement,n_iter,seconds,success
0,5,tanh,frobenius,all,1,10000.0,0.119999,0.325533,1.575748e-04,1.000000,166,0.0723,1
0,5,tanh,frobenius,half,10,1.0,2.232398,6.056056,1.079175e-01,0.200000,90,0.0368,1
0,5,tanh,frobenius,half,10,10.0,0.999610,2.711745,1.057636e-02,0.800000,333,0.1398,1
0,5,tanh,frobenius,half,10,100.0,0.399484,1.083721,2.681509e-03,0.800000,179,0.0757,1
0,5,tanh,frobenius,half,10,1000.0,0.286210,0.776432,6.210548e-04,0.950000,206,0.0847,1
0,5,tanh,frobenius,half,10,10000.0,0.135559,0.367746,1.332517e-04,1.000000,190,0.0808,1
0,5,tanh,frobenius,last,20,1.0,2.065053,5.602082,1.924791e-02,0.300000,305,0.1255,1
0,5,tanh,frobenius,last,20,10.0,1.819765,4.936663,6.463131e-03,0.300000,570,0.2269,1
0,5,tanh,frobenius,last,20,100.0,1.769519,4.800357,6.134813e-03,0.300000,576,0.2368,1
0,5,tanh,frobenius,last,20,1000.0,1.717738,4.659886,3.177873e-02,0.500000,198,0.0881,1
0,5,tanh,frobenius,last,20,10000.0,0.396042,1.074384,4.109358e-04,0.950000,366,0.1562,1
0,5,tanh,nuclear,all,1,1.0,1.883996,5.110912,1.083267e-01,0.350000,66,0.0300,1
0,5,tanh,nuclear,all,1,10.0,0.654659,1.775961,1.438879e-02,0.850000,125,0.0590,1
0,5,tanh,nuclear,all,1,100.0,0.335924,0.911295,2.344992e-03,0.900000,137,0.0697,1
0,5,tanh,nuclear,all,1,1000.0,0.205277,0.556875,5.339314e-04,1.000000,173,0.0895,1
0,5,tanh,nuclear,all,1,10000.0,0.093879,0.254676,1.189422e-04,1.000000,183,0.0901,1
0,5,tanh,nuclear,half,10,1.0,1.879984,5.100026,1.057853e-01,0.450000,158,0.0862,1
0,5,tanh,nuclear,half,10,10.0,0.848700,2.302355,1.346088e-02,0.700000,248,0.1380,1
0,5,tanh,nuclear,half,10,100.0,0.358801,0.973355,2.184309e-03,0.850000,170,0.0885,1
0,5,tanh,nuclear,half,10,1000.0,0.235970,0.640142,4.725322e-04,1.000000,255,0.1327,1
0,5,tanh,nuclear,half,10,10000.0,0.112378,0.304858,1.022056e-04,1.000000,226,0.1203,1
0,5,tanh,nuclear,last,20,1.0,1.855320,5.033117,5.224334e-02,0.500000,143,0.0827,1
0,5,tanh,nuclear,last,20,10.0,1.762634,4.781680,6.296865e-03,0.350000,452,0.2151,1
0,5,tanh,nuclear,last,20,100.0,0.657523,1.783729,1.387684e-03,0.900000,356,0.1808,1
0,5,tanh,nuclear,last,20,1000.0,0.401256,1.088528,4.147012e-04,0.950000,349,0.2078,1
0,5,tanh,nuclear,last,20,10000.0,0.395182,1.072052,4.108030e-04,0.950000,360,0.1774,1
0,5,tanh,spectral,all,1,1.0,2.021342,5.483503,1.109059e-01,0.250000,66,0.0385,1
0,5,tanh,spectral,all,1,10.0,0.755941,2.050720,1.708670e-02,0.850000,111,0.0674,1
0,5,tanh,spectral,all,1,100.0,0.380776,1.032969,2.789178e-03,0.900000,102,0.0543,1
0,5,tanh,spectral,all,1,1000.0,0.242313,0.657346,6.710156e-04,1.000000,130,0.0668,1
0,5,tanh,spectral,all,1,10000.0,0.120800,0.327706,1.602819e-04,1.000000,143,0.0694,1
0,5,tanh,spectral,half,10,1.0,2.103810,5.707223,1.050773e-01,0.350000,153,0.0852,1
0,5,tanh,spectral,half,10,10.0,1.453393,3.942770,8.577660e-02,0.650000,263,0.1277,1
0,5,tanh,spectral,half,10,100.0,0.571583,1.550592,2.764326e-03,0.900000,226,0.1132,1
0,5,tanh,spectral,half,10,1000.0,0.287068,0.778760,6.365046e-04,0.950000,185,0.0931,1
0,5,tanh,spectral,half,10,10000.0,0.137144,0.372044,1.318406e-04,1.000000,190,0.0964,1
0,5,tanh,spectral,last,20,1.0,1.994959,5.411931,3.103110e-02,0.300000,277,0.1316,1
