model_id,n_concepts,activation,phi,rho,divergence,error,sign_agreement
3,8,tanh,0.6,1000.0,0.420625,3.066322e-04,0.964286
3,8,tanh,0.8,10.0,1.139843,8.299163e-03,0.642857
3,8,tanh,0.8,1000.0,0.266448,4.235996e-04,0.946429
3,8,tanh,0.9,10.0,1.233841,8.917279e-03,0.642857
3,8,tanh,0.9,1000.0,0.263864,4.144727e-04,0.982143
3,8,tanh,1.0,10.0,1.252054,1.042505e-02,0.625000
3,8,tanh,1.0,1000.0,0.262182,4.412866e-04,0.982143
4,9,sigmoid,0.2,10.0,2.498269,1.590923e-03,0.291667
4,9,sigmoid,0.2,1000.0,0.887227,1.135123e-04,0.805556
4,9,sigmoid,0.4,10.0,2.405428,2.788010e-03,0.333333
4,9,sigmoid,0.4,1000.0,0.689842,1.519044e-04,0.819444
4,9,sigmoid,0.6,10.0,2.362628,2.950207e-03,0.375000
4,9,sigmoid,0.6,1000.0,0.664170,1.602614e-04,0.805556
4,9,sigmoid,0.8,10.0,2.404746,2.827428e-03,0.347222
4,9,sigmoid,0.8,1000.0,0.687910,1.548183e-04,0.861111
4,9,sigmoid,0.9,10.0,2.406102,2.707844e-03,0.333333
4,9,sigmoid,0.9,1000.0,0.700507,1.558167e-04,0.833333
4,9,sigmoid,1.0,10.0,2.327065,2.773265e-03,0.333333
4,9,sigmoid,1.0,1000.0,0.689073,1.600731e-04,0.861111
4,9,tanh,0.2,10.0,1.810223,4.644188e-03,0.513889
4,9,tanh,0.2,1000.0,0.485074,2.391957e-04,0.902778
4,9,tanh,0.4,10.0,1.547842,6.976119e-03,0.597222
4,9,tanh,0.4,1000.0,0.357384,3.046219e-04,0.916667
4,9,tanh,0.6,10.0,1.239305,8.183365e-03,0.680556
4,9,tanh,0.6,1000.0,0.275308,3.789198e-04,0.916667
4,9,tanh,0.8,10.0,0.866996,1.481478e-02,0.736111
4,9,tanh,0.8,1000.0,0.182433,5.990821e-04,0.930556
4,9,tanh,0.9,10.0,0.690786,1.649387e-02,0.777778
4,9,tanh,0.9,1000.0,0.154247,7.218435e-04,0.958333
4,9,tanh,1.0,10.0,1.258897,1.362554e-01,0.666667
4,9,tanh,1.0,1000.0,0.129837,8.408927e-04,0.930556
5,10,sigmoid,0.2,10.0,2.323689,1.351104e-03,0.344444
5,10,sigmoid,0.2,1000.0,0.976012,6.336188e-05,0.855556
5,10,sigmoid,0.4,10.0,2.148988,2.313251e-03,0.400000
5,10,sigmoid,0.4,1000.0,0.839904,9.730308e-05,0.888889
5,10,sigmoid,0.6,10.0,2.091741,2.475162e-03,0.444444
5,10,sigmoid,0.6,1000.0,0.781658,1.003317e-04,0.877778
5,10,sigmoid,0.8,10.0,2.124046,2.260861e-03,0.422222
5,10,sigmoid,0.8,1000.0,0.841173,9.912723e-05,0.888889
5,10,sigmoid,0.9,10.0,2.119377,2.200873e-03,0.400000
5,10,sigmoid,0.9,1000.0,0.849357,8.880846e-05,0.888889
5,10,sigmoid,1.0,10.0,2.072591,2.217216e-03,0.422222
5,10,sigmoid,1.0,1000.0,0.838864,8.893522e-05,0.888889
5,10,tanh,0.2,10.0,1.660922,2.503396e-03,0.633333
5,10,tanh,0.2,1000.0,0.721485,1.067934e-04,0.911111
5,10,tanh,0.4,10.0,1.409272,3.119947e-03,0.722222
5,10,tanh,0.4,1000.0,0.450918,1.704575e-04,0.944444
5,10,tanh,0.6,10.0,1.313625,6.371664e-03,0.666667
5,10,tanh,0.6,1000.0,0.309660,2.835804e-04,0.922222
5,10,tanh,0.8,10.0,1.014824,6.820646e-03,0.755556
5,10,tanh,0.8,1000.0,0.261622,3.508955e-04,0.966667
5,10,tanh,0.9,10.0,0.955316,8.750526e-03,0.777778
5,10,tanh,0.9,1000.0,0.217601,4.411573e-04,0.955556
5,10,tanh,1.0,10.0,0.896340,7.564041e-03,0.811111
5,10,tanh,1.0,1000.0,0.216838,4.016747e-04,0.955556
6,11,sigmoid,0.2,10.0,2.377574,1.633623e-03,0.309091
6,11,sigmoid,0.2,1000.0,0.891964,7.209613e-05,0.890909
6,11,sigmoid,0.4,10.0,2.147169,2.317847e-03,0.436364
6,11,sigmoid,0.4,1000.0,0.687797,7.852847e-05,0.918182
6,11,sigmoid,0.6,10.0,2.123974,2.472750e-03,0.409091
6,11,sigmoid,0.6,1000.0,0.686432,8.544035e-05,0.954545
6,11,sigmoid,0.8,10.0,2.168555,2.325366e-03,0.390909
6,11,sigmoid,0.8,1000.0,0.698048,8.156740e-05,0.945455
6,11,sigmoid,0.9,10.0,2.177308,2.263307e-03,0.372727
6,11,sigmoid,0.9,1000.0,0.661827,7.821804e-05,0.945455
6,11,sigmoid,1.0,10.0,2.182832,2.451270e-03,0.381818
6,11,sigmoid,1.0,1000.0,0.658227,8.624658e-05,0.945455
6,11,tanh,0.2,10.0,1.649911,3.192608e-03,0.618182
6,11,tanh,0.2,1000.0,0.662547,9.175680e-05,0.954545
6,11,tanh,0.4,10.0,1.348073,4.137888e-03,0.627273
6,11,tanh,0.4,1000.0,0.382563,1.478574e-04,0.972727
6,11,tanh,0.6,10.0,1.161085,6.668599e-03,0.645455
6,11,tanh,0.6,1000.0,0.250664,3.348716e-04,0.963636
6,11,tanh,0.8,10.0,0.844465,9.572021e-03,0.845455
