model_id,n_concepts,activation,rho,t_alpha,divergence,recon_err,recon_rel,sign_agree_recon,edge_prec,edge_rec,naive_err,orig_rel,orig_sign
3,8,tanh,1.0,20,2.152544,7.215153,1.677823,0.375000,0.982143,1.000000,2.152544,0.000000,1.000000
3,8,tanh,100.0,20,1.559216,6.481733,1.507272,0.464286,0.982143,1.000000,1.559216,0.000000,1.000000
3,8,tanh,10000.0,20,1.811794,3.977675,0.924975,0.767857,0.981818,0.981818,1.811794,0.000000,1.000000
4,9,sigmoid,1.0,1,2.495714,11.618053,2.478781,0.291667,0.958333,1.000000,2.495714,0.000000,1.000000
4,9,sigmoid,100.0,1,1.418707,6.450220,1.376193,0.652778,0.957746,0.985507,1.418707,0.000000,1.000000
4,9,sigmoid,10000.0,1,0.320751,1.480756,0.315928,0.902778,0.957143,0.971014,0.320751,0.000000,1.000000
4,9,sigmoid,1.0,20,2.497301,11.250295,2.400317,0.291667,0.958333,1.000000,2.497301,0.000000,1.000000
4,9,sigmoid,100.0,20,1.963513,4.301226,0.917692,0.638889,0.955882,0.942029,1.963513,0.000000,1.000000
4,9,sigmoid,10000.0,20,0.486752,2.030512,0.433222,0.888889,0.957746,0.985507,0.486752,0.000000,1.000000
4,9,tanh,1.0,1,1.564435,7.328316,1.563540,0.583333,0.958333,1.000000,1.564435,0.000000,1.000000
4,9,tanh,100.0,1,0.391162,1.831771,0.390819,0.902778,0.958333,1.000000,0.391162,0.000000,1.000000
4,9,tanh,10000.0,1,0.083556,0.389547,0.083112,0.944444,0.957746,0.985507,0.083556,0.000000,1.000000
4,9,tanh,1.0,20,1.977206,3.115615,0.664735,0.833333,0.957746,0.985507,1.977206,0.000000,1.000000
4,9,tanh,100.0,20,1.368388,3.252890,0.694023,0.791667,0.957746,0.985507,1.368388,0.000000,1.000000
4,9,tanh,10000.0,20,1.498523,3.037337,0.648034,0.833333,0.957746,0.985507,1.498523,0.000000,1.000000
5,10,sigmoid,1.0,1,2.299637,12.424420,2.260910,0.333333,0.988889,1.000000,2.299637,0.000000,1.000000
5,10,sigmoid,100.0,1,1.328290,6.695386,1.218380,0.777778,0.988889,1.000000,1.328290,0.000000,1.000000
5,10,sigmoid,10000.0,1,0.405004,1.789572,0.325654,0.955556,0.988889,1.000000,0.405004,0.000000,1.000000
5,10,sigmoid,1.0,20,2.289228,11.944533,2.173584,0.344444,0.988889,1.000000,2.289228,0.000000,1.000000
5,10,sigmoid,100.0,20,1.765180,7.881062,1.434141,0.577778,0.988889,1.000000,1.765180,0.000000,1.000000
5,10,sigmoid,10000.0,20,0.600775,0.008538,0.001554,1.000000,1.000000,1.000000,0.600775,0.000000,1.000000
5,10,tanh,1.0,1,1.668297,9.161515,1.667149,0.544444,0.988889,1.000000,1.668297,0.000000,1.000000
5,10,tanh,100.0,1,0.514175,2.826269,0.514305,0.855556,0.988636,0.977528,0.514175,0.000000,1.000000
5,10,tanh,10000.0,1,0.121001,0.653708,0.118957,0.966667,0.988764,0.988764,0.121001,0.000000,1.000000
5,10,tanh,1.0,20,1.939853,7.760434,1.412190,0.555556,0.988889,1.000000,1.939853,0.000000,1.000000
5,10,tanh,100.0,20,1.491329,4.499478,0.818784,0.777778,0.988764,0.988764,1.491329,0.000000,1.000000
5,10,tanh,10000.0,20,1.406050,3.786245,0.688995,0.844444,0.988764,0.988764,1.406050,0.000000,1.000000
6,11,sigmoid,1.0,1,2.426092,14.038299,2.369794,0.272727,0.990826,0.990826,2.426092,0.000000,1.000000
6,11,sigmoid,100.0,1,1.276795,7.116947,1.201406,0.709091,0.990654,0.972477,1.276795,0.000000,1.000000
6,11,sigmoid,10000.0,1,0.396500,2.165098,0.365488,0.954545,0.990826,0.990826,0.396500,0.000000,1.000000
6,11,sigmoid,1.0,20,2.413930,13.251638,2.236998,0.272727,0.990909,1.000000,2.413930,0.000000,1.000000
6,11,sigmoid,100.0,20,1.930695,4.296900,0.725356,0.845455,0.990826,0.990826,1.930695,0.000000,1.000000
6,11,sigmoid,10000.0,20,0.572158,0.007051,0.001190,1.000000,1.000000,1.000000,0.572158,0.000000,1.000000
6,11,tanh,1.0,1,1.748765,10.356362,1.748249,0.472727,0.990826,0.990826,1.748765,0.000000,1.000000
6,11,tanh,100.0,1,0.394712,2.338526,0.394765,0.963636,0.990826,0.990826,0.394712,0.000000,1.000000
6,11,tanh,10000.0,1,0.087604,0.513933,0.086757,0.981818,1.000000,0.990826,0.087604,0.000000,1.000000
6,11,tanh,1.0,20,1.825141,4.628006,0.781250,0.745455,0.990826,0.990826,1.825141,0.000000,1.000000
6,11,tanh,100.0,20,1.389285,3.821047,0.645028,0.809091,0.990909,1.000000,1.389285,0.000000,1.000000
6,11,tanh,10000.0,20,1.166242,4.052133,0.684037,0.809091,0.990909,1.000000,1.166242,0.000000,1.000000
7,12,sigmoid,1.0,1,2.376878,15.747640,2.345175,0.257576,1.000000,1.000000,2.376878,0.000000,1.000000
7,12,sigmoid,100.0,1,1.140435,6.972918,1.038423,0.727273,1.000000,0.992424,1.140435,0.000000,1.000000
7,12,sigmoid,10000.0,1,0.339633,1.941661,0.289157,0.939394,1.000000,0.984848,0.339633,0.000000,1.000000
7,12,sigmoid,1.0,20,2.363582,14.939500,2.224825,0.272727,1.000000,1.000000,2.363582,0.000000,1.000000
7,12,sigmoid,100.0,20,1.800843,4.830727,0.719403,0.803030,1.000000,0.992424,1.800843,0.000000,1.000000
7,12,sigmoid,10000.0,20,0.533006,0.005243,0.000781,1.000000,1.000000,1.000000,0.533006,0.000000,1.000000
7,12,tanh,1.0,1,1.837767,12.329746,1.836174,0.439394,1.000000,0.984848,1.837767,0.000000,1.000000
7,12,tanh,100.0,1,0.433417,2.899964,0.431869,0.939394,1.000000,0.984848,0.433417,0.000000,1.000000
7,12,tanh,10000.0,1,0.099944,0.665242,0.099069,0.992424,1.000000,1.000000,0.099944,0.000000,1.000000
7,12,tanh,1.0,20,1.477268,4.011054,0.597335,0.833333,1.000000,1.000000,1.477268,0.000000,1.000000
7,12,tanh,100.0,20,1.258682,5.975383,0.889868,0.727273,1.000000,1.000000,1.258682,0.000000,1.000000
7,12,tanh,10000.0,20,1.198012,3.932281,0.585604,0.825758,1.000000,0.992424,1.198012,0.000000,1.000000
8,13,sigmoid,1.0,1,2.328397,16.457455,2.263788,0.326923,0.987179,1.000000,2.328397,0.000000,1.000000
8,13,sigmoid,100.0,1,1.186695,7.541366,1.037344,0.807692,0.987179,1.000000,1.186695,0.000000,1.000000
8,13,sigmoid,10000.0,1,0.380072,1.125281,0.154787,0.967949,1.000000,1.000000,0.380072,0.000000,1.000000
8,13,sigmoid,1.0,20,2.302877,15.801733,2.173590,0.346154,0.987097,0.993506,2.302877,0.000000,1.000000
8,13,sigmoid,100.0,20,1.646770,8.347452,1.148225,0.608974,0.987013,0.987013,1.646770,0.000000,1.000000
8,13,sigmoid,10000.0,20,0.579454,0.000000,0.000000,1.000000,1.000000,1.000000,0.579454,0.000000,1.000000
8,13,tanh,1.0,1,1.511104,10.980940,1.510471,0.583333,0.987179,1.000000,1.511104,0.000000,1.000000
8,13,tanh,100.0,1,0.352333,2.551911,0.351025,0.916667,0.986928,0.980519,0.352333,0.000000,1.000000
8,13,tanh,10000.0,1,0.077182,0.557243,0.076651,0.987179,1.000000,0.993506,0.077182,0.000000,1.000000
8,13,tanh,1.0,20,1.673498,4.546724,0.625420,0.794872,0.986928,0.980519,1.673498,0.000000,1.000000
8,13,tanh,100.0,20,1.228611,3.482593,0.479044,0.878205,0.993464,0.987013,1.228611,0.000000,1.000000
8,13,tanh,10000.0,20,1.400748,4.480513,0.616312,0.839744,0.987097,0.993506,1.400748,0.000000,1.000000
